name,description,item_type,category,manufacturer,catalog_number,model_number,serial_number,ahri_tag,project_name,storage_requirements,units,calibration_required,compatible_analyzers,equipment_condition,installation_date,last_service_date,last_maintenance_date,current_location,active
GeneXpert,4-module GeneXpert System for TB testing with data output integration,CARTRIDGE,TB - Molecular Diagnostics,Cepheid,,GeneXpert 4-module,SN-809794,GX-001,Tuberculosis Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,TB Lab - Testing Area,Y
MGIT 960,Mycobacteria Growth Indicator Tube system for TB culture,CARTRIDGE,TB - Culture,Becton Dickinson,,MGIT 960,,MGIT-001,Tuberculosis Laboratory,Room Temperature,units,Y,Both manual and LIS integration,Active,2020-01-01,2024-11-01,2024-12-01,TB Lab - Culture Area,Y
